month,sites,new_sites,revenue,cloud_cogs,depreciation,total_cogs,gross_profit,opex,net,capex,cash
1,0,0,0,0,0,0,0,29000,-29000,0,471000
2,0,0,0,0,0,0,0,29000,-29000,0,442000
3,0,0,0,0,0,0,0,29000,-29000,0,413000
4,0,0,0,0,0,0,0,29000,-29000,0,384000
5,0,0,0,0,0,0,0,29000,-29000,0,355000
6,0,0,0,0,0,0,0,29000,-29000,0,326000
7,0,0,0,0,0,0,0,29000,-29000,0,297000
8,0,0,0,0,0,0,0,29000,-29000,0,268000
9,1,1,10000,1000,556,1556,8444,29000,-20556,20000,228000
10,2,1,20000,2000,1111,3111,16889,29000,-12111,20000,197000
11,3,1,30000,3000,1667,4667,25333,29000,-3667,20000,175000
12,3,0,30000,3000,1667,4667,25333,29000,-3667,0,173000
13,4,1,40000,4000,2222,6222,33778,60000,-26222,20000,129000
14,4,0,40000,4000,2222,6222,33778,60000,-26222,0,1605000
15,5,1,50000,5000,2778,7778,42222,60000,-17778,20000,1570000
16,6,1,60000,6000,3333,9333,50667,60000,-9333,20000,1544000
17,6,0,60000,6000,3333,9333,50667,60000,-9333,0,1538000
18,7,1,70000,7000,3889,10889,59111,60000,-889,20000,1521000
19,8,1,80000,8000,4444,12444,67556,85000,-17444,20000,1488000
20,8,0,80000,8000,4444,12444,67556,85000,-17444,0,1475000
21,9,1,90000,9000,5000,14000,76000,85000,-9000,20000,1451000
22,9,0,90000,9000,5000,14000,76000,85000,-9000,0,1447000
23,10,1,100000,10000,5556,15556,84444,85000,-556,20000,1432000
24,10,0,100000,10000,5556,15556,84444,85000,-556,0,1437000
25,12,2,120000,12000,6667,18667,101333,110000,-8667,40000,1395000
26,13,1,130000,13000,7222,20222,109778,110000,-222,20000,1382000
27,14,1,140000,14000,7778,21778,118222,110000,8222,20000,1378000
28,15,1,150000,15000,8333,23333,126667,110000,16667,20000,1383000
29,16,1,160000,16000,8889,24889,135111,110000,25111,20000,1397000
30,18,2,180000,18000,10000,28000,152000,110000,42000,40000,1409000
31,19,1,190000,19000,10556,29556,160444,140000,20444,20000,1420000
32,20,1,200000,20000,11111,31111,168889,140000,28889,20000,1440000
33,22,2,220000,22000,12222,34222,185778,140000,45778,40000,1458000
34,23,1,230000,23000,12778,35778,194222,140000,54222,20000,1505000
35,24,1,240000,24000,13333,37333,202667,140000,62667,20000,1561000
36,25,1,250000,25000,13889,38889,211111,140000,71111,20000,1626000
